Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Рапс озимый;7653055;00 БВ 156 МС;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Кукуруза;8653956;01 ИНЛ 1;2014;*;линия;-;-;среднепоздний;-;-;-;
Рапс озимый;7653054;04 ФР 028 МС;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Кукуруза;7754937;06 ЦДХ 0766;2023;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8152984;09 ИР;2019;*;линия;-;-;средний (среднеспелый);-;-;-;10152
Кукуруза;8355570;0997;2017;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8355568;0997 МС;2017;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7952942;1 ПГЖН 21;2021;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7852909;1 ПЙВЦ 69;2022;*;линия;-;-;среднеранний;-;-;-;
Перец сладкий;8261286;1/15;2019;*;гибрид первого поколения;-;-;ранний (раннеспелый);-;садово-огородный;цилиндрическая;
Пшеница мягкая яровая;8058807;100 ЛЕТ ТАССР;2023;7, 9;-;ценная(ый) по качеству;-;средний (среднеспелый);-;-;-;12390
Свекла сахарная;9462978;1007;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462979;1007-1;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462981;1008;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462982;1008-1;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462984;1030;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462986;1030-1;2005;*;линия;-;-;-;-;-;-;
Кукуруза;8953203;1040;2010;*;линия;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;8058655;1082 СТ;2020;*;родительский компонент;-;-;-;-;-;-;11378
Подсолнечник;7754860;11 ИС 34 Р;2023;*;линия;-;-;-;-;-;-;
Подсолнечник;8058653;1100 ИМИ;2020;*;родительский компонент;-;-;-;-;-;-;11377
Подсолнечник;7954315;1100 СТ;2022;*;родительский компонент;-;-;-;-;-;-;12674
Подвои винограда;7953133;1103 ПОЛСЕН;2020;*;-;-;-;-;-;-;-;
Кукуруза;8261272;117 ЦБ 343;2018;*;линия;-;-;ранний (раннеспелый);-;-;-;
Кукуруза;7754361;118 МВ;2023;*;родительский компонент;-;-;очень ранний;-;-;-;
Кукуруза;8154291;118 МЦ 248;2020;*;линия;-;-;ранний (раннеспелый);-;-;-;11227
Кукуруза;7652880;118 НС;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8556950;118601 НС;2015;*;линия;-;-;среднеранний;-;-;-;
Подсолнечник;7754859;13 ИС 2615 А;2023;*;линия;-;-;-;-;-;-;
Шампиньон двуспоровый;9806342;130;1999;*;-;-;-;-;-;-;-;
Подсолнечник;8058657;1301 СТ;2020;*;родительский компонент;-;-;-;-;-;-;11376
Подсолнечник;8756184;13013;2012;*;линия;-;-;-;-;-;-;
Подсолнечник;7954317;1349 ИМИ;2022;*;родительский компонент;-;-;-;-;-;-;12673
Подсолнечник;7954311;1349 СТ;2022;*;родительский компонент;-;-;-;-;-;-;12672
Подсолнечник;9154751;135;2011;7;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8852981;1362 ВС;2011;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8154285;14 Б 001;2020;*;линия;-;-;очень ранний;-;-;-;
Кукуруза;8556951;14 НС;2015;*;линия;-;-;среднеранний;-;-;-;
Подсолнечник;8557580;14 ТР 006;2017;5;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;9463138;14271;2005;*;линия;-;-;-;-;-;-;
Редис;8557878;15 ДНЕЙ;2015;*;-;-;-;от очень раннего до раннего;-;садово-огородный;округлая;
Подсолнечник;7754083;15048;2022;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;7953548;156 ЛА 337;2021;*;линия;-;-;от очень раннего до раннего;-;-;-;
Кукуруза;7953549;156 ЛА 337 Х 14 Б 001;2021;*;простой гибрид;-;-;от очень раннего до раннего;-;-;-;
Подсолнечник;7754106;1563/1-1;2022;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;8154281;158 ИЦ 474;2020;*;линия;-;-;ранний (раннеспелый);-;-;-;
Подсолнечник;7754108;1590/1-1;2022;*;родительский компонент;-;-;-;-;-;-;
Редис;8756346;16 ДНЕЙ;2013;*;-;-;-;ранний (раннеспелый);-;садово-огородный;эллиптическая;7107
Подсолнечник;8558961;16 З 09;2016;*;линия;-;-;-;-;-;-;
Подсолнечник;7754105;1620/2-0;2022;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;7754107;1625/1-0;2022;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;8653521;17 ИВИ 7;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8654229;17 ИНИ 30;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Редис;9704980;18 ДНЕЙ;2003;*;-;-;-;ранний (раннеспелый);-;садово-огородный;удлиненно-цилиндрическая;
Редис;8260812;19 ДНЕЙ;2019;*;-;-;-;ранний (раннеспелый);-;садово-огородный;удлиненно-цилиндрическая;
Подсолнечник;8654418;19027;2016;*;линия;-;-;-;-;-;-;
Подсолнечник;8654417;19044;2014;*;линия;-;-;-;-;-;-;
Подсолнечник;7754085;19301;2022;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;8058658;1959 СТ;2020;*;родительский компонент;-;-;-;-;-;-;11379
Подсолнечник;8458113;20 М 60;2016;*;линия;-;-;-;-;-;-;
Огурец;7954122;20 МД 817;2022;*;гибрид первого поколения;салатный;-;среднеранний;партенокарпическое;светокультура;-;
Кукуруза;8457565;207 НС;2017;*;линия;-;-;среднепоздний;-;-;-;
Томат;7853798;21 ГС 286;2023;9;-;салатный;-;средний (среднеспелый);индетерминантное;садово-огородный;округлая;
Томат;7853792;21 ГС 59;2023;9;-;салатный;-;средний (среднеспелый);детерминантное;садово-огородный;округлая;
Кукуруза;8260774;21 ИР;2018;*;линия;-;-;ранний (раннеспелый);-;-;-;9497
Томат;7853857;21 МС 5004;2023;9;-;салатный;-;средний (среднеспелый);индетерминантное;садово-огородный;округлая;
Подсолнечник;8059056;217 А;2020;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;8456920;22 ИР;2016;*;линия;-;-;ранний (раннеспелый);-;-;-;8628
Кукуруза;7953547;223 ДХ 002;2021;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8261271;226 ИА 988;2018;*;линия;-;-;ранний (раннеспелый);-;-;-;
Кукуруза;7953324;226 ИА 988 ЦМС;2021;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8154287;227 В 539;2020;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8154284;227 В 539 Х 227 В 600;2020;*;простой гибрид;-;-;среднеранний;-;-;-;
Кукуруза;8154283;227 В 600;2020;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7953546;227 ВБ 025;2021;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7653492;227 ВБ 025 ЦМС;2024;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8558029;23 М;2017;5;простой гибрид;зерновой;-;среднеранний;-;-;-;10721
Кукуруза;7652883;230155 НС;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7652884;230177 НС;2024;*;линия;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;8058654;2343 ИМИ;2020;*;родительский компонент;-;-;-;-;-;-;11380
Подсолнечник;7954312;2343 СТ;2022;*;родительский компонент;-;-;-;-;-;-;12671
Кукуруза;7754363;239 МВ;2023;*;родительский компонент;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7652885;240192 НС;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7652886;240311 НС;2024;*;линия;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;8057027;2453 Н;2019;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;7954393;2472 ИМИ;2022;*;родительский компонент;-;-;-;-;-;-;12677
Подсолнечник;7954313;2472 СТ;2022;*;родительский компонент;-;-;-;-;-;-;12676
Кукуруза;8261270;249 Д 635;2018;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8152986;249 ИР;2019;*;линия;-;-;среднепоздний;-;-;-;10150
Подсолнечник;8058656;2562 СТ;2020;*;родительский компонент;-;-;-;-;-;-;11381
Кукуруза;8456919;26 ИР;2016;*;линия;-;-;среднеранний;-;-;-;8629
Подсолнечник;9811457;2607 А;2001;*;линия;-;-;-;-;-;-;
Кукуруза;7953545;262 БХ 503;2021;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7953544;266 ФА 069;2021;*;линия;-;-;средний (среднеспелый);-;-;-;
Огурец;7954121;27 РУ 403;2022;*;гибрид первого поколения;салатный;-;среднеранний;партенокарпическое;светокультура;-;
Свекла сахарная;9462976;286-1/96;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462975;286/96;2005;*;линия;-;-;-;-;-;-;
Подсолнечник;7653553;2867 Р;2024;*;линия;-;-;-;-;-;-;
Подсолнечник;7653658;29044;2024;*;линия;-;-;-;-;-;-;
Перец сладкий;8261099;3 БОГАТЫРЯ;2019;*;гибрид первого поколения;-;-;ранний (раннеспелый);-;садово-огородный;кубовидная;10191
Кукуруза;7954671;3 ИР;2024;*;линия;-;-;среднепоздний;-;-;-;13107
Свекла сахарная;8456336;3 Й 1832;2015;*;линия;-;-;-;-;-;-;
Свекла сахарная;8456335;3 РВ 6079;2015;*;линия;-;-;-;-;-;-;
Пион древовидный;9358811;300 ЛЕТ БОТСАДУ МГУ;2006;*;-;-;-;-;-;-;-;
Вешенка устричная;8261716;3015 М;2018;*;-;-;-;-;-;-;-;
Подсолнечник;7653554;3023 А;2024;*;линия;-;-;-;-;-;-;
Подсолнечник;7653555;3023 Б;2024;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462972;309-1/96;2005;*;линия;-;-;-;-;-;-;
Свекла сахарная;9462971;309/96;2005;*;линия;-;-;-;-;-;-;
Кукуруза;8556952;312 5 НСД;2015;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8556953;315032;2015;*;линия;-;-;среднепоздний;-;-;-;
Кукуруза;8057290;3189 Х 3177;2020;*;простой гибрид;-;-;среднеранний;-;-;-;
Кукуруза;8953751;32 ИР;2013;*;линия;-;-;среднепоздний;-;-;-;6902
Кукуруза;8057292;3207;2020;*;линия;-;-;очень ранний;-;-;-;
Кукуруза;8057294;3229;2020;*;линия;-;-;очень ранний;-;-;-;
Кукуруза;8057293;3229 Х 3207;2020;*;простой гибрид;-;-;очень ранний;-;-;-;
Кукуруза;7653543;3231;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8057291;3232 Х 3233;2020;*;простой гибрид;-;-;среднеранний;-;-;-;
Кукуруза;7653540;3232 Х АП 47;2024;*;родительский компонент;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7653547;3244 Х 3245;2024;*;родительский компонент;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7653541;3247;2024;*;линия;-;-;очень ранний;-;-;-;
Кукуруза;8057289;3247 Х 3152;2020;*;простой гибрид;-;-;очень ранний;-;-;-;
Подсолнечник;9052890;325 ДМР НС;2012;5, 7;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7754861;3252;2023;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7653539;3257 Х 3258;2024;*;родительский компонент;-;-;от очень раннего до раннего;-;-;-;
Кабачок;8953929;33 БОГАТЫРЯ;2017;4;-;-;-;ранний (раннеспелый);-;товарное производство;-;7906
Подсолнечник;7754084;33153;2022;*;родительский компонент;-;-;-;-;-;-;
Сорго зерновое;8356141;341 Х 120;2019;8;простой гибрид;-;-;среднеранний;-;-;-;
Подсолнечник;7754082;35637;2022;*;родительский компонент;-;-;-;-;-;-;
Сорго зерновое;8558845;366 Х 73;2017;6;простой гибрид;-;-;ранний (раннеспелый);-;-;-;
Подсолнечник;8654313;37025;2015;*;линия;-;-;-;-;-;-;
Подсолнечник;8756185;37032;2012;*;линия;-;-;-;-;-;-;
Подсолнечник;8854246;37032 ИМ;2016;*;линия;-;-;-;-;-;-;
Подсолнечник;8457147;37032 К;2016;*;линия;-;-;-;-;-;-;
Перец сладкий;8355171;38 ПОПУГАЕВ;2018;*;-;-;-;ранний (раннеспелый);-;садово-огородный;цилиндрическая;9517
Подсолнечник;8756186;39051;2012;*;линия;-;-;-;-;-;-;
Свекла сахарная;8456338;4 БЙ 1241;2015;*;линия;-;-;-;-;-;-;
Кукуруза;7954672;4 ИР;2024;*;линия;-;-;среднепоздний;-;-;-;13106
Райграс однолетний;8457862;4 ИР 1;2018;*;-;газонная трава;-;-;-;-;-;
Кукуруза;8654124;4 НС;2015;*;линия;-;-;ранний (раннеспелый);-;-;-;
Салат;9359442;4 СЕЗОНА;2008;*;-;-;-;-;кочанный;садово-огородный;-;
Кукуруза;8854239;4 ХП 811;2012;*;линия;-;-;средний (среднеспелый);-;-;-;
Виноград;7852524;40 ЛЕТ ОКТЯБРЯ;2021;6;-;технический;-;поздний ( позднеспелый);-;-;-;
Кукуруза;7754862;4020 СМС Х 3152;2023;*;родительский компонент;-;-;среднеранний;-;-;-;
Кукуруза;7653544;4029 Х 3036;2024;*;родительский компонент;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8154289;427 ББ 498;2020;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7852656;427 ББ 498 ЦМС;2022;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8058158;431 ЭЙ ЭЙЧ 044;2020;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8261269;447 ЦБ 602;2018;*;линия;-;-;среднеранний;-;-;-;10234
Подсолнечник;8757085;45 П 60;2016;*;линия;-;-;-;-;-;-;
Рапс яровой;7953818;45118;2020;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Подсолнечник;8853995;460 Е НС;2013;5, 8, 9;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Кукуруза;7953550;483 КУХ 037;2021;*;линия;-;-;средний (среднеспелый);-;-;-;
Свекла сахарная;7852556;5 КФ 1522;2021;*;-;-;-;-;-;-;-;
Земляника;7105002;50 ЛЕТ ОКТЯБРЯ;1988;6;-;-;-;среднеранний;-;-;-;
Сирень;8803552;50-ЛЕТИЕ ОКТЯБРЯ;1998;*;-;-;-;-;-;-;-;
Подсолнечник;9359534;5007 А;2007;*;линия;-;-;-;-;-;-;
Подсолнечник;9358823;5021 А;2007;*;линия;-;-;-;-;-;-;
Подсолнечник;9358825;5024 А;2007;*;линия;-;-;-;-;-;-;
Кукуруза;7755086;503-503 МВ;2023;*;родительский компонент;-;-;от очень раннего до раннего;-;-;-;13245
Шампиньон двуспоровый;9806350;512;1999;*;-;-;-;-;-;-;-;
Кукуруза;8152985;53 ИР;2019;*;линия;-;-;средний (среднеспелый);-;-;-;10151
Клоновые подвои яблони;7405669;54 118;1992;*;-;-;-;-;-;-;-;
Подсолнечник;9052887;548 КЛ ДМР НС;2012;5, 7;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Рапс яровой;8456645;55 РЕГИОН;2018;4, 7, 9, 10, 11;-;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;9646
Клоновые подвои яблони;7405650;57233;1999;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;7405677;57257;1999;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;8009856;57366;1999;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;7405685;57476;1999;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;7405693;57490;1996;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;8009830;57491;1996;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;7405707;57545;1999;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;9005293;58238;1999;*;-;-;-;-;-;-;-;
Свекла сахарная;7852558;6 Й_1301;2021;*;-;-;-;-;-;-;-;
Свекла сахарная;7852559;6 К_1301;2021;*;-;-;-;-;-;-;-;
Свекла сахарная;7852557;6 КФ 1125;2021;*;-;-;-;-;-;-;-;
Томат;9252507;6 ПУНТО 7;2008;*;гибрид первого поколения;цельноплодное консервирование;-;очень ранний;детерминантное;садово-огородный;яйцевидная;
Кукуруза;8152987;601 ИР;2019;*;линия;-;-;среднепоздний;-;-;-;10149
Клоновые подвои яблони;9005307;60160;1999;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;8009848;60164;1999;*;-;-;-;-;-;-;-;
Кукуруза;7652881;6024 НС;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;7652882;6088 НС;2024;*;линия;-;-;от очень раннего до раннего;-;-;-;
Кукуруза;8355037;611 НСД;2017;*;линия;-;-;поздний ( позднеспелый);-;-;-;
Кукуруза;8653958;6207;2014;*;линия;-;-;среднеранний;-;-;-;
Клоновые подвои яблони;9503439;62223;1996;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;7405715;62396;1996;*;-;-;-;-;-;-;-;
Подсолнечник;8458112;63 ДЖИ 13;2016;*;линия;-;-;-;-;-;-;
Клоновые подвои яблони;9403094;675(32);1996;*;-;-;-;-;-;-;-;
Свекла сахарная;7852555;7 БЙ 1363;2021;*;-;-;-;-;-;-;-;
Свекла сахарная;8456337;7 БТ 2486;2015;*;линия;-;-;-;-;-;-;
Свекла сахарная;7954662;7 ЙФ 1842;2021;*;-;-;-;-;-;-;-;
Подсолнечник;8057540;7 ПАЦЫ 80 Р;2022;*;родительский компонент;-;-;-;-;-;-;13284
Подсолнечник;7953249;7 ПБНК 89 Р;2022;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;7754399;7 ПДЦХ 57 Р;2023;8, 9, 10, 11, 12;родительский компонент;-;-;-;-;-;-;
Подсолнечник;8057539;7 ПКВЛ 42 Р;2022;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;8260831;7 ПНВВФ 24 А;2022;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;8057538;7 ПППУ 01 А;2022;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;7754396;7 ПУХД 10 А;2023;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;8057535;7 ПЦДК 22 Р;2020;*;родительский компонент;-;-;-;-;-;-;
Свекла сахарная;7954661;7 Т_1113;2021;*;-;-;-;-;-;-;-;
Картофель;8558228;7 ФОР 7;2017;7, 12;-;столовый;-;среднеранний;устойчив к раку, патотип I и к золотистой картофельной нематоде (R01);-;-;9392
Клоновые подвои яблони;8557884;70-20-20;2018;*;-;-;-;-;-;-;-;9431
Клоновые подвои яблони;8557885;70-20-21;2018;*;-;-;-;-;-;-;-;9611
Клоновые подвои яблони;8557883;71-7-22;2018;*;-;-;-;-;-;-;-;9612
Клоновые подвои яблони;9503420;713150;1996;*;-;-;-;-;-;-;-;
Кукуруза;8953752;72 ИР;2013;*;линия;-;-;среднепоздний;-;-;-;6903
Кукуруза;7652879;732 НС;2024;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8355248;7405 Х 7303;2017;*;линия;-;-;средний (среднеспелый);-;-;-;
Соя;7954817;75 ЛЕТ ПОБЕДЫ;2024;11;-;-;-;ранний (раннеспелый);-;-;-;13638
Клоновые подвои яблони;8557882;75-1-62;2018;*;-;-;-;-;-;-;-;9610
Клоновые подвои яблони;8954427;76 3 6;2012;*;-;-;-;-;-;-;-;7227
Подсолнечник;9154462;8 Х 288 КЛДМ;2012;5;трехлинейный гибрид;-;-;ранний (раннеспелый);-;-;-;
Подсолнечник;9052554;8 Х 341 КЛДМ;2015;8;простой гибрид;-;-;средний (среднеспелый);высокоолеиновый;-;-;
Подсолнечник;8557582;8 Х 477 КЛ;2017;5;простой гибрид;-;-;среднепоздний;высокоолеиновый;-;-;
Подсолнечник;8457038;807 А Х 278 Р;2018;5, 7;простой гибрид;-;-;средний (среднеспелый);-;-;-;
Клоновые подвои яблони;8954426;83 1 15;2012;*;-;-;-;-;-;-;-;7229
Кукуруза;8654212;83 ИДИ 1;2014;*;линия;-;-;среднепоздний;-;-;-;
Подсолнечник;8154292;85 П 10 Р;2020;*;родительский компонент;-;-;-;-;-;-;11226
Шампиньон двуспоровый;9806288;856;2008;*;-;-;-;-;-;-;-;
Клоновые подвои яблони;8954428;87 7 12;2012;*;-;-;-;-;-;-;-;7228
Кукуруза;8653520;87 ДИА 4;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8653959;87 ИХИ 1;2014;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8653952;89 АХА 1;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Свекла сахарная;7953487;9 ЙФ 1588;2021;*;-;-;-;-;-;-;-;
Свекла сахарная;7953486;9 РВ 6878;2021;*;-;-;-;-;-;-;-;
Кукуруза;8653953;91 ДУК 1;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8653957;91 ИНХ 2;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8260773;92 ИР;2018;*;линия;-;-;ранний (раннеспелый);-;-;-;9496
Кукуруза;8653172;92 НСД;2013;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8654123;92312 5 НС;2015;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8653954;94 АХА 8;2014;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8557990;94 ИЗИ 14;2015;*;линия;-;-;среднеранний;-;-;-;
Кукуруза;8653584;94 ИЗИ 9;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Кукуруза;8653955;94 ИНК 1 А;2014;*;линия;-;-;средний (среднеспелый);-;-;-;
Рапс озимый;7653056;99 ЕИ 030 МС;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Рапс озимый;7653062;99 ФС 081 МС;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Огурец;9610189;ЁЖИК;2006;10, 11;гибрид первого поколения;засолочный;-;средний (среднеспелый);партенокарпическое;товарное производство;-;
Шиповник;8756025;ЁЖИК;2014;*;-;-;-;-;-;-;-;7648
Томат;8755642;ЁЛКИНСКИЙ ФЕРМЕР;2012;*;гибрид первого поколения;салатный;-;среднепоздний;индетерминантное;сад.-огород. для з/грунта;плоскоокруглая;
Земляника;8152968;ЁЦУБОСИ;2019;*;-;-;-;ремонтантный;-;защищенный грунт;-;
Кукуруза;8654217;А 0036 З;2015;*;линия;-;-;средний (среднеспелый);-;-;-;8951
Кукуруза;8154599;А 0095 З;2020;*;линия;-;-;среднеранний;-;-;-;10807
Кукуруза;8557992;А 0274 З;2016;*;линия;-;-;среднеранний;-;-;-;8807
Подсолнечник;7653091;А 118;2024;*;линия;-;-;-;-;-;-;
Подсолнечник;7755320;А 12;2023;*;родительский компонент;-;-;-;-;-;-;
Подсолнечник;7653093;А 13;2024;*;линия;-;-;-;-;-;-;
Сорго зерновое;8260671;А 1413;2017;*;линия;-;-;-;-;-;-;
Сорго зерновое;8057285;А 1414;2020;*;линия;-;-;-;-;-;-;
Сорго зерновое;8153405;А 149;2020;*;линия;-;-;-;-;-;-;
Шампиньон двуспоровый;9806334;А 15;1999;*;-;-;-;-;-;-;-;
Подсолнечник;8261741;А 229 Х В 471;2020;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;8355073;А 2304 З;2022;*;линия;-;-;среднеранний;-;-;-;10021
Подсолнечник;7755318;А 24;2023;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;8557993;А 2542 З;2016;*;линия;-;-;среднеранний;-;-;-;8806
Лен-долгунец;8801428;А 29;1993;2, 11;-;-;-;ранний (раннеспелый);-;-;-;
Рапс озимый;7652875;А 3;2024;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Кукуруза;8154655;А 3988 З;2020;*;линия;-;-;средний (среднеспелый);-;-;-;10716
Подсолнечник;7653094;А 42;2024;*;линия;-;-;-;-;-;-;
Кукуруза;7952945;А 4567 З;2022;*;линия;-;-;среднеранний;-;-;-;12205
Кукуруза;7754299;А 4695 З;2022;*;линия;-;-;среднеранний;-;-;-;13143
Подсолнечник;7653095;А 59;2024;*;линия;-;-;-;-;-;-;
Подсолнечник;7653096;А 61;2024;*;линия;-;-;-;-;-;-;
Сорго сахарное;9610273;А 63;2004;*;линия;-;-;среднепоздний;-;-;-;2505
Кукуруза;9154814;А 654 ЦМЩЦ X С 1222;2009;*;простой гибрид;-;-;среднеранний;-;-;-;
Кукуруза;9705690;А 679 УМ;2003;*;простой гибрид;-;-;поздний ( позднеспелый);-;-;-;
Подсолнечник;7653153;А 68;2024;*;линия;-;-;-;-;-;-;
Подсолнечник;7755316;А 69;2023;*;родительский компонент;-;-;-;-;-;-;
Кукуруза;8154610;А 6996 З;2020;*;линия;-;-;средний (среднеспелый);-;-;-;10710
Подсолнечник;7653097;А 77;2024;*;линия;-;-;-;-;-;-;
Рапс яровой;7953911;А 78 Н НХТ;2020;*;линия;-;-;-;00 типа (безэруковый, низкоглюкозинолатный);-;-;
Кукуруза;7754364;А 845 УМ;2023;*;родительский компонент;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;7653040;А 89;2024;*;линия;-;-;-;-;-;-;
Кукуруза;7952944;А 9026 З;2022;*;линия;-;-;среднепоздний;-;-;-;
Лен-долгунец;9301577;А 93;1997;2, 3, 4, 10;-;-;-;средний (среднеспелый);-;-;-;
Подсолнечник;7653157;А 93;2024;*;линия;-;-;-;-;-;-;
Подсолнечник;7653152;А 94;2024;*;линия;-;-;-;-;-;-;
Кукуруза;8154607;А 9941 З;2020;*;линия;-;-;среднеранний;-;-;-;10717
Кукуруза;7952952;А 9978 З;2022;*;линия;-;-;среднеранний;-;-;-;12204
Агроцибе теплолюбивое;8057377;АА;2020;*;-;-;-;-;-;-;-;
Расторопша пятнистая;7754665;АА АЭЛИТА;2024;8, 9;-;-;-;-;-;-;-;
Горох овощной;8558469;АБА;2017;5, 6, 7;-;консервный;-;от очень раннего до раннего;-;товарное производство;-;8868
Ячмень яровой;7702230;АБАВА;1980;2, 4;-;пивоваренный и ценный по качеству;-;средний (среднеспелый);-;-;-;
Соя;8057899;АБАКА;2022;5;-;-;-;среднеранний;-;-;-;12377
Пырей бескорневищный;9503226;АБАКАН;2000;*;-;-;-;-;-;-;-;
Люцерна изменчивая;9004246;АБАКАНСКАЯ 3;1997;9, 11;-;-;-;-;-;-;-;
Томат;9252244;АБАКАНСКИЙ;2008;*;-;салатный;-;среднеранний;детерминантное;садово-огородный;сердцевидная;
Томат;9463690;АБАКАНСКИЙ РОЗОВЫЙ;2007;*;-;салатный;-;поздний ( позднеспелый);детерминантное;садово-огородный;плоскоокруглая;
Просо посевное;7805322;АБАКАНСКОЕ КОРМОВОЕ;1981;11;-;кормовой;-;поздний ( позднеспелый);-;-;-;
Морковь;9464075;АБАКО;2009;1, 2, 3, 4, 6, 7, 8, 10, 11;гибрид первого поколения;-;-;ранний (раннеспелый);-;товарное производство;конусовидная;
Капуста брюссельская;8153618;АБАКУС;2020;*;гибрид первого поколения;-;-;среднеранний;-;садово-огородный;-;
Лен масличный;8757164;АБАКУС;2015;4, 7, 10;-;-;-;-;-;-;-;
Ячмень яровой;8954264;АБАЛАК;2013;4, 10, 11;-;ценная(ый) по качеству;-;среднеранний;-;-;-;6889
Огурец;8356216;АБАТОВА;2018;*;гибрид первого поколения;салатный;-;средний (среднеспелый);партенокарпическое;сад.-огород. для з/грунта;-;10504
