Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Томат;7953598;БАНДИТОС;2022;*;гибрид первого поколения;салатный;-;средний (среднеспелый);индетерминантное;сад.-огород. для з/грунта;округлая;
Огурец;8557740;БАНЗАЙ;2015;*;гибрид первого поколения;салатный;-;ранний (раннеспелый);партенокарпическое;садово-огородный;-;8362
Томат;9605118;БАНЗАЙ;1997;*;-;салатный;-;среднеранний;индетерминантное;садово-огородный;округлая;
Вишня обыкновенная;9704841;БАНКЕТНАЯ;2011;5;-;-;-;средний (среднеспелый);-;-;-;
Картофель;8058308;БАНКИР;2024;9;-;столовый;-;среднеранний;устойчив к раку, патотип I и к золотистой картофельной нематоде (R01);-;-;
Лук репчатый;9605886;БАНКО;1999;6;-;-;-;средний (среднеспелый);полуострый;товарное производство;округлая;
Огурец;9051961;БАНОЧНЫЙ;2010;;гибрид первого поколения;салатный;-;-;партенокарпическое;сад.-огород. для з/грунта;-;5182
Лук батун;8654713;БАНЧИНГ СТАР;2015;*;-;-;-;-;-;садово-огородный;-;
Терескен;9807187;БАР;1999;*;-;-;-;-;-;-;-;
Соя;9253544;БАРА;2011;5, 6, 7, 8, 12;-;-;-;очень ранний;-;-;-;5902
Земляника;9153719;БАРАБИНСКАЯ;2011;10;-;-;-;средний (среднеспелый);-;-;-;
Огурец;9359030;БАРАБУЛЬКА;2007;;гибрид первого поколения;салатный;-;ранний (раннеспелый);партенокарпическое;сад.-огород. для з/грунта;-;
Овсяница луговая;8954077;БАРАЙКА;2015;3;-;-;-;-;-;-;-;
Арбуз;9052390;БАРАКА;2011;8, 9;гибрид первого поколения;столовый;-;средний (среднеспелый);среднеплетистое;товарное производство;-;
Перец острый;8755552;БАРАНИЙ РОГ;2012;*;-;-;-;-;-;садово-огородный;хоботовидная;
Салат;9153872;БАРБАДОС;2008;*;-;-;-;-;листовой;садово-огородный;-;
Жимолость;9553212;БАРБАЛЕТА;2006;*;-;-;-;средний (среднеспелый);-;-;-;
Астра однолетняя;9463328;БАРБАРА;2008;*;-;-;-;-;-;-;-;
Вейгела;9052980;БАРБАРА;2010;*;-;-;-;-;-;-;-;
Капуста цветная;8355263;БАРБАРА;2018;*;гибрид первого поколения;-;-;среднеранний;-;садово-огородный;-;
Тыква мускатная;8354984;БАРБАРА;2018;*;гибрид первого поколения;столовый;-;среднеранний;-;садово-огородный;-;
Кабачок;8262102;БАРБАРО;2019;*;гибрид первого поколения;-;-;ранний (раннеспелый);-;садово-огородный;-;
Виноград;7852495;БАРБЕРА;2021;6;-;технический;-;поздний ( позднеспелый);-;-;-;
Перец сладкий;9154961;БАРБИ;2011;6, 8;гибрид первого поколения;-;-;ранний (раннеспелый);-;товарное производство;конусовидная;
Клевер ползучий;9154923;БАРБИАН;2011;*;-;для газонов и на корм;-;-;-;-;-;
Клевер ползучий;8756385;БАРБЛАНКА;2015;*;-;для газонов и на корм;-;-;-;-;-;
Томат;8557615;БАРБОС;2015;*;-;салатный;-;ранний (раннеспелый);индетерминантное;садово-огородный;плоскоокруглая;8397
Огурец;9154447;БАРВИНА;2011;3, 6, 8;гибрид первого поколения;салатный;-;от очень раннего до раннего;партенокарпическое;товарное производство;-;
Овсяница луговая;8756395;БАРВИТАЛ;2017;3;-;-;-;-;-;-;-;
Овсяница красная;8756363;БАРГРИН;2014;*;-;газонная трава;-;-;-;-;-;
Овсяница красная;8756364;БАРГРИН II;2014;*;-;газонная трава;-;-;-;-;-;
Овес яровой;9100121;БАРГУЗИН;1994;11;-;ценная(ый) по качеству;-;средний (среднеспелый);-;-;-;
Перец сладкий;9705719;БАРГУЗИН;2003;;-;-;-;среднеранний;-;защищенный грунт;конусовидная;
Соя;8057389;БАРГУЗИН;2022;5, 6, 7, 9, 11;-;-;-;ранний (раннеспелый);-;-;-;12170
Томат;8262248;БАРГУЗИН;2019;*;гибрид первого поколения;салатный;-;средний (среднеспелый);индетерминантное;сад.-огород. для з/грунта;округлая;
Баклажан;9610308;БАРД;2007;;гибрид первого поколения;-;-;-;-;сад.-огород. для з/грунта;-;
Тритикале озимая;9462997;БАРД;2009;3, 6, 7, 11;-;-;-;-;-;-;-;4950
Овсяница красная;8654282;БАРДЖЕССИКА;2016;*;-;газонная трава;-;-;-;-;-;
Мятлик луговой;8654278;БАРДЖИНИ;2015;*;-;газонная трава;-;-;-;-;-;
Овсяница красная;8756358;БАРДИВА;2014;*;-;газонная трава;-;-;-;-;-;
Люцерна синяя;8558411;БАРДИН;2019;3;-;кормовой;-;-;-;-;-;
Баклажан;7852501;БАРДОВСКИЙ ФЕСТИВАЛЬ;2023;;-;-;-;-;-;защищенный грунт;-;
Овсяница тростниковая;8853765;БАРДОКС;2014;*;-;для газонов и на корм;-;-;-;-;-;
Мятлик луговой;8756360;БАРДУК;2014;*;-;газонная трава;-;-;-;-;-;
Райграс пастбищный;8756362;БАРЕВРО;2014;*;-;газонная трава;-;-;-;-;-;
Огурец;9359047;БАРЕЗ;2007;;гибрид первого поколения;салатный;-;-;партенокарпическое;сад.-огород. для з/грунта;-;
Райграс многоукосный;9154918;БАРЕЛЛИ;2012;*;-;для газонов и на корм;-;-;-;-;-;
Овсяница тростниковая;8756387;БАРИАН;2015;*;-;для газонов и на корм;-;-;-;-;-;
Томат;8557505;БАРИБИНЕ;2015;*;гибрид первого поколения;салатный;-;ранний (раннеспелый);индетерминантное;сад.-огород. для з/грунта;округлая;
Томат;8153175;БАРИКА;2020;*;гибрид первого поколения;салатный;-;средний (среднеспелый);индетерминантное;садово-огородный;округлая;
Мятлик луговой;8756365;БАРИМПАЛА;2014;*;-;газонная трава;-;-;-;-;-;
Горох овощной;8355116;БАРИН;2019;3, 7;-;консервный;-;средний (среднеспелый);-;товарное производство;-;9937
Картофель;8854151;БАРИН;2014;3;-;столовый;-;средний (среднеспелый);"устойчив к раку, патотип I; восприимчив к золотистой картофельной нематоде (R01)";-;-;8059
